"STATISTIC","Statistic Label","TLIST(A1)","Year","C03341V04028","Stamp Duty Event","C03722V04470","Type of Buyer","C03789V04537","Local Authority Area","UNIT","VALUE"
"CRP08C1","Volume of Sales","2018","2018","02","Executions","-","All buyer types","2ae19629-1433-13a3-e055-000000000001","Dublin City Council","Number","5380"
"CRP08C1","Volume of Sales","2018","2018","02","Executions","-","All buyer types","2ae19629-149f-13a3-e055-000000000001","Dún Laoghaire Rathdown County Council","Number","2650"
"CRP08C1","Volume of Sales","2018","2018","02","Executions","-","All buyer types","2ae19629-14a4-13a3-e055-000000000001","Donegal County Council","Number","1110"
"CRP08C1","Volume of Sales","2018","2018","02","Executions","-","All buyer types","2ae19629-14a0-13a3-e055-000000000001","Fingal County Council","Number","3700"
"CRP08C1","Volume of Sales","2018","2018","02","Executions","-","All buyer types","2ae19629-14a5-13a3-e055-000000000001","Galway County Council","Number","1240"
"CRP08C1","Volume of Sales","2018","2018","02","Executions","-","All buyer types","2ae19629-1435-13a3-e055-000000000001","Galway City Council","Number","810"
"CRP08C1","Volume of Sales","2018","2018","02","Executions","-","All buyer types","2ae19629-14a7-13a3-e055-000000000001","Kildare County Council","Number","2380"
"CRP08C1","Volume of Sales","2018","2018","02","Executions","-","All buyer types","2ae19629-14a8-13a3-e055-000000000001","Kilkenny County Council","Number","620"
"CRP08C1","Volume of Sales","2018","2018","02","Executions","-","All buyer types","2ae19629-14a6-13a3-e055-000000000001","Kerry County Council","Number","1230"
"CRP08C1","Volume of Sales","2018","2018","02","Executions","-","All buyer types","2ae19629-1490-13a3-e055-000000000001","Longford County Council","Number","350"
"CRP08C1","Volume of Sales","2018","2018","02","Executions","-","All buyer types","2ae19629-1491-13a3-e055-000000000001","Louth County Council","Number","1200"
"CRP08C1","Volume of Sales","2018","2018","02","Executions","-","All buyer types","2ae19629-148f-13a3-e055-000000000001","Limerick City & County Council","Number","1690"
"CRP08C1","Volume of Sales","2018","2018","02","Executions","-","All buyer types","2ae19629-148e-13a3-e055-000000000001","Leitrim County Council","Number","390"
"CRP08C1","Volume of Sales","2018","2018","02","Executions","-","All buyer types","2ae19629-148d-13a3-e055-000000000001","Laois County Council","Number","620"
"CRP08C1","Volume of Sales","2018","2018","02","Executions","-","All buyer types","2ae19629-1494-13a3-e055-000000000001","Meath County Council","Number","2170"
"CRP08C1","Volume of Sales","2018","2018","02","Executions","-","All buyer types","2ae19629-1495-13a3-e055-000000000001","Monaghan County Council","Number","280"
"CRP08C1","Volume of Sales","2018","2018","02","Executions","-","All buyer types","2ae19629-1493-13a3-e055-000000000001","Mayo County Council","Number","1030"
"CRP08C1","Volume of Sales","2018","2018","02","Executions","-","All buyer types","2ae19629-1496-13a3-e055-000000000001","Offaly County Council","Number","490"
"CRP08C1","Volume of Sales","2018","2018","02","Executions","-","All buyer types","2ae19629-1497-13a3-e055-000000000001","Roscommon County Council","Number","640"
"CRP08C1","Volume of Sales","2018","2018","02","Executions","-","All buyer types","2ae19629-14a1-13a3-e055-000000000001","South Dublin County Council","Number","2850"
"CRP08C1","Volume of Sales","2018","2018","02","Executions","-","All buyer types","2ae19629-1498-13a3-e055-000000000001","Sligo County Council","Number","710"
"CRP08C1","Volume of Sales","2018","2018","02","Executions","-","All buyer types","2ae19629-1499-13a3-e055-000000000001","Tipperary County Council","Number","1150"
"CRP08C1","Volume of Sales","2018","2018","02","Executions","-","All buyer types","2ae19629-149a-13a3-e055-000000000001","Waterford City & County Council","Number","1190"
"CRP08C1","Volume of Sales","2018","2018","02","Executions","-","All buyer types","2ae19629-149b-13a3-e055-000000000001","Westmeath County Council","Number","850"
"CRP08C1","Volume of Sales","2018","2018","02","Executions","-","All buyer types","2ae19629-149e-13a3-e055-000000000001","Wicklow County Council","Number","1350"
"CRP08C1","Volume of Sales","2018","2018","02","Executions","-","All buyer types","2ae19629-149c-13a3-e055-000000000001","Wexford County Council","Number","1440"
"CRP08C1","Volume of Sales","2018","2018","02","Executions","130","Buyer with Mortgage","IE0","Ireland","Number","28130"
"CRP08C1","Volume of Sales","2018","2018","02","Executions","130","Buyer with Mortgage","2ae19629-1434-13a3-e055-000000000001","Cork City Council","Number","570"
"CRP08C1","Volume of Sales","2018","2018","02","Executions","130","Buyer with Mortgage","2ae19629-14a2-13a3-e055-000000000001","Clare County Council","Number","510"
"CRP08C1","Volume of Sales","2018","2018","02","Executions","130","Buyer with Mortgage","2ae19629-149d-13a3-e055-000000000001","Cavan County Council","Number","300"
"CRP08C1","Volume of Sales","2018","2018","02","Executions","130","Buyer with Mortgage","2ae19629-14a3-13a3-e055-000000000001","Cork County Council","Number","2350"
"CRP08C1","Volume of Sales","2018","2018","02","Executions","130","Buyer with Mortgage","2ae19629-1492-13a3-e055-000000000001","Carlow County Council","Number","280"
"CRP08C1","Volume of Sales","2018","2018","02","Executions","130","Buyer with Mortgage","2ae19629-1433-13a3-e055-000000000001","Dublin City Council","Number","3820"
"CRP08C1","Volume of Sales","2018","2018","02","Executions","130","Buyer with Mortgage","2ae19629-149f-13a3-e055-000000000001","Dún Laoghaire Rathdown County Council","Number","1840"
"CRP08C1","Volume of Sales","2018","2018","02","Executions","130","Buyer with Mortgage","2ae19629-14a4-13a3-e055-000000000001","Donegal County Council","Number","380"
"CRP08C1","Volume of Sales","2018","2018","02","Executions","130","Buyer with Mortgage","2ae19629-14a0-13a3-e055-000000000001","Fingal County Council","Number","2960"
"CRP08C1","Volume of Sales","2018","2018","02","Executions","130","Buyer with Mortgage","2ae19629-14a5-13a3-e055-000000000001","Galway County Council","Number","720"
"CRP08C1","Volume of Sales","2018","2018","02","Executions","130","Buyer with Mortgage","2ae19629-1435-13a3-e055-000000000001","Galway City Council","Number","490"
"CRP08C1","Volume of Sales","2018","2018","02","Executions","130","Buyer with Mortgage","2ae19629-14a7-13a3-e055-000000000001","Kildare County Council","Number","1850"
"CRP08C1","Volume of Sales","2018","2018","02","Executions","130","Buyer with Mortgage","2ae19629-14a8-13a3-e055-000000000001","Kilkenny County Council","Number","380"
"CRP08C1","Volume of Sales","2018","2018","02","Executions","130","Buyer with Mortgage","2ae19629-14a6-13a3-e055-000000000001","Kerry County Council","Number","570"
"CRP08C1","Volume of Sales","2018","2018","02","Executions","130","Buyer with Mortgage","2ae19629-1490-13a3-e055-000000000001","Longford County Council","Number","140"
"CRP08C1","Volume of Sales","2018","2018","02","Executions","130","Buyer with Mortgage","2ae19629-1491-13a3-e055-000000000001","Louth County Council","Number","760"
"CRP08C1","Volume of Sales","2018","2018","02","Executions","130","Buyer with Mortgage","2ae19629-148f-13a3-e055-000000000001","Limerick City & County Council","Number","980"
"CRP08C1","Volume of Sales","2018","2018","02","Executions","130","Buyer with Mortgage","2ae19629-148e-13a3-e055-000000000001","Leitrim County Council","Number","130"
"CRP08C1","Volume of Sales","2018","2018","02","Executions","130","Buyer with Mortgage","2ae19629-148d-13a3-e055-000000000001","Laois County Council","Number","370"
"CRP08C1","Volume of Sales","2018","2018","02","Executions","130","Buyer with Mortgage","2ae19629-1494-13a3-e055-000000000001","Meath County Council","Number","1670"
"CRP08C1","Volume of Sales","2018","2018","02","Executions","130","Buyer with Mortgage","2ae19629-1495-13a3-e055-000000000001","Monaghan County Council","Number","140"
"CRP08C1","Volume of Sales","2018","2018","02","Executions","130","Buyer with Mortgage","2ae19629-1493-13a3-e055-000000000001","Mayo County Council","Number","440"
